chainage,Vp_mean,Vp_std,Vs_mean,Vp_Vs_mean,Pr_mean,E_mean,low_vp_frac,Vp_grad
0.0,5927.93640994844,27.242115253904913,3386.485903017544,1.750462414311664,0.2577643199173243,78327369013.3881,0.0,0.004595547821353216
1.0,5924.714717666437,27.222618742671436,3381.691834084566,1.751991284612481,0.25839111737224524,78134060332.62093,0.0,0.004594756041409474
2.0,5919.9602004025755,27.212595546120095,3373.0391769440403,1.7550760771651337,0.2596475690404022,77796732230.34569,0.0,0.0045967531241550555
3.0,5912.245392361013,27.212317505988903,3362.1444226458602,1.7584689087797747,0.2610168953446889,77353795550.2527,0.0,0.004602704336511958
4.0,5903.519778258233,27.22395926522781,3350.5892227793815,1.7619295043299485,0.26240023568328164,76878899294.2709,0.0,0.0046114793017960915
5.0,5895.629721902886,27.238904357207538,3340.198911086432,1.7650484819895624,0.2636356685970051,76452048486.21289,0.0,0.0046201857379146345
6.0,5888.686801256201,27.245093714718642,3331.1005439141486,1.7677853522728122,0.2647110376025562,76078423199.27625,0.0,0.004626684120619275
7.0,5882.673843623857,27.240083071360928,3323.230030880725,1.7701627535682276,0.26563864396248693,75755531953.64636,0.0,0.0046305615091749045
8.0,5877.550291827336,27.22382060658837,3316.537690101833,1.7721898334578432,0.2664248238640133,75481149179.53488,0.0,0.00463183116346898
9.0,5873.208974476533,27.20447004111896,3310.870162009777,1.773912158547909,0.2670893974967962,75248965824.20723,0.0,0.004631960170206156
10.0,5869.472665196913,27.17895980289965,3306.0483426225865,1.7753691277733872,0.2676491608171204,75051146965.24658,0.0,0.004630562463304619
11.0,5866.170334016703,27.152627070326357,3301.842742071334,1.776630163081008,0.26813186349784124,74878288934.99345,0.0,0.004628680301495445
12.0,5863.195693239385,27.128579795874384,3298.137831463127,1.7777238663965893,0.26854917898367003,74725449676.41278,0.0,0.004626927227946526
13.0,5860.383667714956,27.104540739908806,3294.721461751039,1.778713593248157,0.2689257573085842,74583907209.93022,0.0,0.004625045436731788
14.0,5857.698198754966,27.080248822889725,3291.602330233095,1.7795831038377383,0.2692557642084689,74453577995.84561,0.0,0.004623018787242967
15.0,5855.0710796887115,27.05583698296262,3288.7085260045974,1.7803500175618958,0.2695461801551388,74331386092.1023,0.0,0.004620923745362089
16.0,5852.547668402739,27.032814157514853,3286.1804617717917,1.7809516342825937,0.2697735524316847,74222436402.16774,0.0,0.004618982311483912
17.0,5850.081552339646,27.00950688964215,3284.0252186027533,1.7813694396117106,0.2699311635573885,74126491539.02846,0.0,0.004616945361863197
18.0,5847.749160195504,26.988398217094428,3282.508946807114,1.7814818353063526,0.2699733366227414,74053123396.36617,0.0,0.004615177135290459
19.0,5845.51335842039,26.968559992383835,3281.7074061902435,1.7812359795124,0.26988016610721627,74004445358.03421,0.0,0.004613548603646559
20.0,5843.449095852673,26.951116193690456,3281.9542375894353,1.780473673921022,0.2695915050529147,73992206947.37645,0.0,0.004612193201575523
21.0,5841.516940019921,26.93462094936214,3283.3252215677285,1.7791426835880735,0.2690863352450564,74018438879.44214,0.0,0.004610894948328983
22.0,5839.765875357707,26.91975864128397,3286.117860209938,1.7770990510559477,0.26830741735848646,74093331371.69954,0.0,0.004609732515961342
23.0,5838.184702490788,26.906574535019185,3290.3426912840832,1.7743380351671718,0.26724846576176015,74216912027.75603,0.0,0.004608722729086277
24.0,5836.879946441874,26.89522848638896,3296.3315848410307,1.7707200823836884,0.26584891259403703,74400894542.23148,0.0,0.004607809092036927
25.0,5835.855282435277,26.88411808032992,3303.950764843774,1.7663285880855202,0.2641311518014677,74640514717.74678,0.0,0.004606714316785667
26.0,5835.205616332631,26.875708851228318,3313.288143272459,1.7611579612929131,0.2620808884364942,74939149201.7135,0.0,0.0046057860884897795
27.0,5834.965062487964,26.870744886021033,3324.027667349597,1.7554007854407607,0.2597613949455068,75286317121.90996,0.0,0.00460512524037592
28.0,5835.3166719997225,26.871894472746003,3336.135615677149,1.7491438521845355,0.2571947989463885,75682365712.0904,0.0,0.004605044761605224
29.0,5836.379645268118,26.882459539303895,3348.758391626473,1.742879988555975,0.2545760792298313,76100705274.11803,0.0,0.004606016258906831
30.0,5838.392303713526,26.905953790928912,3361.275560694947,1.7370028864192164,0.2520727121796652,76524177448.9276,0.0,0.004608452531319147
31.0,5841.68945911143,26.951533949521203,3372.7893009158224,1.7320643711997323,0.24993481863982778,76928522655.61081,0.0,0.004613654001658387
32.0,5846.7384092155735,27.020708642426207,3382.4635481646046,1.7286133064099414,0.2484219618293773,77293438425.96452,0.0,0.004621501211648226
33.0,5854.218024920391,27.128488327958678,3390.170167745828,1.7268965133562069,0.2476622950587627,77623570643.03618,0.0,0.004634007174387948
34.0,5864.92121107471,27.289766051824344,3395.646531159408,1.7272670596658706,0.2478215493768905,77920069531.13905,0.0,0.004653049046975541
35.0,5879.694905307425,27.530763384528445,3399.26979401293,1.7297748575114957,0.24891660840532193,78204183712.4344,0.0,0.004682345568582211
36.0,5899.08101321234,27.85793683231403,3400.938335444035,1.7346286685963135,0.2510174847112391,78477335605.08601,0.0,0.004722419775194237
37.0,5923.247715076823,28.30338725021013,3401.1039874610774,1.7416522097412517,0.25400796900925066,78753298481.71735,0.0,0.004778356167364049
38.0,5951.171946126345,28.967925669263376,3399.437739803539,1.7507214164583929,0.2577855761200446,79006460199.18388,0.0,0.004867600185551706
39.0,5981.183419051812,30.136458708008362,3396.15545944735,1.7612481693810311,0.2620555541985125,79221943060.49014,0.0,0.005038544481342033
40.0,6010.684063894785,32.251295882696716,3390.791713515946,1.772726768687194,0.2665758859854813,79353271166.84938,0.0,0.0053656614687788064
41.0,6036.722851888008,35.39020867070049,3383.6860900877346,1.7841311984794814,0.2709307923517527,79379532462.71564,0.0,0.00586248690538666
42.0,6057.506186462728,40.186161434686454,3374.414523741243,1.795168278066989,0.2750223221548154,79268417017.89961,0.0,0.006634109846132368
43.0,6071.847655086057,45.98092703318475,3363.1841311198746,1.8053977614634928,0.2787032178893082,79016403239.81032,0.0,0.007572806441313345
44.0,6078.52129179956,52.908576735269904,3350.2154509504476,1.8143492032172293,0.2818315131095465,78621847733.08871,0.0,0.008704185474608935
45.0,6077.287407012346,60.79146300581811,3336.2949286395033,1.821528974437515,0.28426726063704444,78113860914.87779,0.0,0.010003058755387012
46.0,6067.719446351985,69.62331636080934,3321.391786039991,1.8268123074940965,0.2860033095617564,77491324652.80016,0.0,0.011474379620922208
47.0,6050.246457745431,78.99533976558986,3305.5804102674037,1.830263514604044,0.28709372787882004,76764729980.73648,0.0,0.013056549070712763
48.0,6025.506169241257,88.47041469384791,3288.466849430872,1.8322656731748748,0.2876905581299328,75929359020.60953,0.0,0.014682652744647582
49.0,5996.0386065186385,97.05708617457108,3269.575804772361,1.8338366555374148,0.28814778735582597,74994516063.48419,0.0,0.01618686812137815
50.0,5964.123722502318,104.03632412039897,3248.743543158069,1.8357659214458415,0.28873060982101495,73977082218.66116,0.0,0.01744368979598815
51.0,5932.310450870953,108.51889977241875,3226.606351601448,1.8384958395010977,0.28958493382809086,72923389750.43376,0.0,0.01829285582252419
52.0,5901.225005607539,110.35956941816826,3203.8427937653673,1.841859193581971,0.2906439901961539,71862237281.65952,0.0,0.01870112888647932
53.0,5871.078280631367,110.40637620794814,3182.230077710979,1.8449115380250323,0.291589518614711,70855911579.8181,0.0,0.018805127598449795
54.0,5841.465205882107,109.61769690760019,3163.2664472556435,1.8466404740152367,0.2920954893353126,69951126648.18921,0.0,0.018765445490804635
55.0,5811.2899546714225,108.85386902229352,3147.7748258395195,1.8461831520396232,0.29189155520895865,69165179395.23314,0.0,0.018731446868281577
56.0,5781.041239142358,108.20687990207762,3135.5412986018346,1.8437806944003465,0.2910652785896095,68493638025.448425,0.0,0.01871754160292816
57.0,5750.309874304004,107.63841945824545,3125.1433337716335,1.8401131284881846,0.28983906027618367,67883878703.71922,0.0,0.01871871634936655
58.0,5720.636959585642,106.80362735377572,3115.0585372013393,1.836559509268642,0.2886636599363224,67297436574.574066,0.009070294784580499,0.018669883809813555
59.0,5692.766761577369,105.12113310120569,3103.82489378969,1.834224829067857,0.28791123950495345,66692558980.876366,0.036281179138321996,0.018465736873416846
60.0,5667.854777232547,102.29350003273359,3090.8858854856435,1.8338312942463106,0.28782007433521895,66060935965.47009,0.07709750566893424,0.018048010059019213
61.0,5646.073445973085,97.44768926183687,3075.865166405207,1.8356928625214717,0.28848943283265693,65391850656.60123,0.10430839002267574,0.01725937329617388
62.0,5627.150989302913,90.12812755808766,3059.517800656013,1.8393116059550412,0.289736825375717,64707052529.23762,0.12244897959183673,0.016016653494683016
63.0,5610.897449163068,79.45753982449061,3042.7808462354405,1.8440899955864067,0.29135608918947176,64034984129.71253,0.12698412698412698,0.014161288910422171
64.0,5591.923560035083,65.57965227259835,3025.131381683114,1.8485866210953996,0.2928657381774988,63314282547.991356,0.11337868480725624,0.011727565938342269
65.0,5574.177355187111,49.45354197867301,3011.178067421081,1.8512593829782031,0.2937965992457946,62727211260.849915,0.08616780045351474,0.00887189962346009
66.0,5559.2601250996795,35.48696041908121,3002.900586372562,1.851373386179534,0.29391942034041196,62348130911.896614,0.07256235827664399,0.006383396283040647
67.0,5544.516597378874,36.57567499633371,2998.5421981362824,1.8491063001631682,0.2932601336677078,62096039826.562294,0.11791383219954649,0.006596729282685996
68.0,5529.275857490795,55.3199526470653,2997.7114818459254,1.8444860488905288,0.29177985726319433,61949639602.38894,0.35827664399092973,0.010004918197745634
69.0,5515.052640804805,79.93800710537586,2999.661430530735,1.8385067146641452,0.2897516326699329,61894224469.25088,0.5374149659863946,0.014494513889819491
70.0,5502.322952041893,104.84212496130877,3003.664898928606,1.8318012719038501,0.28735752793255215,61909016377.96595,0.5873015873015873,0.019054156921525605
71.0,5492.1556609192885,126.89139424055344,3008.739544339146,1.8253353842703797,0.2849453568021598,61973271512.32157,0.5895691609977324,0.023104114681826597
72.0,5485.293817307484,144.76030349054975,3014.1492511360725,1.81979550438209,0.28280317111016495,62073050585.867065,0.5873015873015873,0.02639061977565005
73.0,5482.896768632796,156.66443806900233,3019.50931074002,1.8157755199910692,0.28123120803406126,62211232408.26749,0.5714285714285714,0.028573297050745336
74.0,5486.324962969402,162.21042582748692,3024.375500265237,1.8139765042302927,0.28053591605331063,62388852543.30118,0.5532879818594104,0.029566317511640246
75.0,5495.419214383817,160.84150538763762,3028.4375355071893,1.8145287043095257,0.28078234101576854,62595738020.74765,0.5306122448979592,0.029268286751692255
76.0,5510.136976543343,153.11970362690184,3031.501691175856,1.8175347111682325,0.28197413389914056,62823726158.26332,0.49206349206349204,0.027788729078506512
77.0,5528.669782404112,139.20578366061616,3033.541709005241,1.8224221195761976,0.2838524943242707,63053293189.61569,0.4331065759637188,0.02517889277876739
78.0,5549.545463081391,120.08237537157984,3035.058141119285,1.828403122519746,0.2860910662497252,63285076505.22419,0.36281179138321995,0.02163823617091112
79.0,5570.140125038517,97.28015489806404,3036.3280196762494,1.8344458275326252,0.28829122072281954,63503586631.90162,0.2766439909297052,0.017464579474509488
80.0,5587.615939785164,74.0211509065654,3037.5778221727755,1.8394712013200913,0.29007336097631803,63691931351.91826,0.17687074829931973,0.013247358391149362
81.0,5599.055031175885,54.69919998754168,3038.918195337701,1.8424489572892684,0.29110873906428464,63830490300.748535,0.07256235827664399,0.009769362809058931
82.0,5600.262448016697,43.90432806940409,3039.851619492895,1.8422996966485197,0.2910781813693407,63870607356.18206,0.013605442176870748,0.007839691171058273
83.0,5593.574382074685,41.076362294110446,3040.772206689137,1.8395597055004411,0.2901790828593367,63844985168.27466,0.0,0.007343490850085305
84.0,5578.8772477147395,40.1335369538133,3041.8006459669464,1.8341195827569978,0.2883892382415566,63757131855.556244,0.036281179138321996,0.007193837607769763
85.0,5559.456588412338,38.26309965140048,3043.2413248520556,1.8268792006644226,0.28598283406538505,63642541130.27992,0.09523809523809523,0.0068825251250426225
86.0,5538.146669827967,35.620682608626176,3045.136047454192,1.818747902142529,0.28323730702144256,63524614450.75379,0.17233560090702948,0.006431877798149458
87.0,5517.364566198869,33.72794948957114,3048.098414423996,1.8101610147127052,0.28027669754927764,63441731842.44515,0.32653061224489793,0.00611305435499734
88.0,5499.567519244561,33.17042583340311,3052.5186804979626,1.8017042125179161,0.2772953379467857,63426500433.79193,0.5260770975056689,0.006031460786192729
89.0,5486.705233183708,33.38428631489293,3059.2235035650674,1.7935408328168763,0.27435742393915136,63521889118.23759,0.671201814058957,0.00608457806570749
90.0,5480.360177498214,34.092595739849656,3068.2386735194573,1.7861898611084597,0.2716595110074173,63743350094.24306,0.7324263038548753,0.006220867723214266
91.0,5479.475417322268,34.534002211112416,3079.4320952449198,1.7793963481908948,0.26912088395931694,64078783448.085396,0.746031746031746,0.006302428532095798
92.0,5483.7559457319685,35.043168328014346,3091.8901977080504,1.773602782330435,0.2669139370800947,64498705995.58979,0.7074829931972789,0.0063903588479762114
93.0,5490.503135304915,36.46790302355285,3104.2150913432256,1.7687358442915528,0.26501771364479637,64936503724.307144,0.6485260770975056,0.006641996575685624
94.0,5498.217891507808,39.87691269019264,3115.511338744004,1.764810828865876,0.26344420716109956,65351145667.16908,0.5804988662131519,0.007252697778986062
95.0,5505.690748526248,45.79183102871059,3124.6520900163264,1.76205645330898,0.26229727166711336,65697198146.72119,0.5396825396825397,0.008317181825166057
96.0,5511.874240920091,53.51924306152826,3131.7428692024705,1.7600542122368188,0.26143176841528665,65968422637.468376,0.5034013605442177,0.00970980844666319
97.0,5516.725678367814,61.083129427781124,3136.181356137649,1.759110743133874,0.2610005362757572,66147403327.631256,0.47619047619047616,0.011072352150332502
98.0,5519.187337322317,66.69508779660455,3137.983273476024,1.7588722363471538,0.2608845018804852,66225318394.66107,0.4467120181405896,0.012084222498749504
99.0,5519.533602282825,68.96571523055646,3136.4982201897787,1.7597961638371105,0.2612741561276467,66185214870.23966,0.42857142857142855,0.012494844709688507
100.0,5517.606103828734,67.88133624190957,3131.4367548934506,1.7620098748464266,0.262200800753248,66015557171.094696,0.42630385487528344,0.012302678909007813
101.0,5513.401067581761,63.12367261493575,3122.9977326831413,1.7654184806780275,0.2636053892742957,65721398793.50216,0.4217687074829932,0.011449134906216428
102.0,5506.672485710487,55.82047106336548,3111.759671640347,1.7696329495992058,0.26530749162996775,65317245088.63574,0.4399092970521542,0.010136878706354005
103.0,5496.277293821451,46.59454335387842,3099.5580584263944,1.7732478232089859,0.2667542757846809,64849127778.78125,0.5170068027210885,0.008477473181015108
104.0,5482.818723446618,37.29485347289969,3087.883049316007,1.7755951692728535,0.26769089561624676,64369173632.0077,0.6893424036281179,0.006802131413417827
105.0,5467.385842365062,30.27130861743767,3078.5178525091746,1.775982937077347,0.2678611019499279,63942537562.6968,0.8594104308390023,0.005536706113334714
106.0,5452.234316940001,27.39269642671819,3071.8982086518185,1.7748751324921346,0.2674474930330926,63602916867.24498,0.9863945578231292,0.005024123108861866
107.0,5440.208522331029,28.942442539885935,3068.002671030276,1.7732052620591634,0.2668073760663877,63374906910.24098,0.9954648526077098,0.0053200980111386305
108.0,5432.494020430028,32.923729161919766,3066.3104382226325,1.7716638942585305,0.2662077250409142,63252971184.03203,0.9886621315192744,0.006060518251477609
109.0,5428.938173207801,37.5219645754538,3066.150387153757,1.7705930808165853,0.26578385872830024,63215232262.7474,0.9750566893424036,0.006911473915941477
110.0,5429.029727719154,41.99542535698551,3066.928055599769,1.7701711747146205,0.26560694474078395,63239013185.24823,0.9569160997732427,0.007735346362627358
111.0,5431.815103710883,45.587984410775086,3067.8226796255526,1.7705620692715862,0.2657428583543858,63290899140.70075,0.9183673469387755,0.008392771760501672
112.0,5436.5410009043735,48.12712874460976,3068.695744049887,1.7716006249039573,0.26612674374802486,63359722158.642914,0.8888888888888888,0.00885252750535961
113.0,5443.117548504284,49.4587522797857,3069.6459257705214,1.7732002989448594,0.2667258389826936,63447744495.93503,0.8503401360544217,0.00908647513836728
114.0,5450.558958762941,49.49597526502359,3070.8518904996317,1.7749353443600162,0.2673775855068422,63551486659.09255,0.8163265306122449,0.009080898975573395
115.0,5459.537879205086,48.7016172967507,3072.575644948535,1.7768705731204757,0.2681077362591604,63685252842.540306,0.7755102040816326,0.0089204651335348
116.0,5468.569551962449,47.325540304907236,3074.5271573530463,1.7786886692115464,0.26879396063020405,63826661946.58011,0.7369614512471655,0.008654098636788385
117.0,5477.597865895176,46.130247208447905,3076.572637419973,1.7804478695406076,0.26945546187853814,63970994404.578674,0.6870748299319728,0.008421619903056694
118.0,5485.890548938033,45.636427994844574,3078.3416230162507,1.7821248484111891,0.2700804715470341,64100066552.37688,0.6303854875283447,0.008318873223527173
119.0,5493.214779019267,46.27897104752518,3079.64480745022,1.7837532525586903,0.27068132544363177,64205889686.8077,0.546485260770975,0.008424751790918209
120.0,5497.535708605445,47.369694353348144,3080.1130640713814,1.7848862040947142,0.2710969182747155,64258954057.66371,0.4965986394557823,0.008616532363603003
